basin,BT,code,year,DIC,NH4,DIP,NOx,DIN,BW_O2,ChlA.inv,OC.inv,TN.inv,IP.inv,TP.inv
BP,A,D,2008,22.48223812333333,2.620491479,0.34046680766666665,NA,3.561876039,0,65.28807898,1.050089835,1.005861985,NA,NA
BP,A,D,2010,34.755852405,1.2650706896666666,0.34962478525,-0.16970236133333336,1.0834701873333334,0,105.1532524,1.078324197,1.009451702,NA,NA
BP,A,D,2016,35.301770866249996,4.569486576375,0.793388056375,NA,3.753529515875,0,NA,1.105554068,1.011542385,1.000947447,1.002055634
BP,A,D,2017,NA,NA,NA,NA,NA,2,NA,1.046304642,1.005444868,1.000229145,1.000568861
BP,A,D,2018,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BP,A,E,2008,21.5201438975,1.7112965375,0.32253922925,NA,1.399870161,0,70.36373849,1.049156828,1.005385985,NA,1.000823681
BP,A,E,2010,30.13547389,1.1081579504999999,0.509165719,NA,NA,0,96.05039309,1.059127743,1.006775113,NA,NA
BP,A,E,2015,NA,NA,NA,NA,NA,30,NA,1.090307624,1.009725547,1.000616524,1.0013783
BP,A,E,2016,NA,NA,NA,NA,NA,10,NA,1.109959431,1.011665234,1.000819859,1.001777568
BP,A,E,2017,NA,NA,NA,NA,NA,12,NA,1.045952555,1.004896732,1.000407435,1.000829738
BP,A,E,2018,48.0069845,2.4550223995000002,0.6338529785,0.045934394,2.2459271464999997,0,NA,NA,NA,NA,NA
BP,A,F,2008,37.512216355,3.0194658115,0.44030023325,NA,3.01564102775,0,75.75784493,1.043374188,1.004740166,NA,1.000552274
BP,A,F,2010,36.03839823,3.189410272,1.183902597,NA,NA,0,110.7966399,1.05955346,1.007080185,NA,NA
BP,A,F,2015,NA,NA,NA,NA,NA,45,NA,1.083555665,1.008892491,1.000639786,1.001405323
BP,A,F,2016,NA,NA,NA,NA,NA,25,NA,1.101870208,1.01083493,1.000776871,1.0016506570000001
BP,A,F,2017,NA,NA,NA,NA,NA,27,NA,1.041489541,1.004497515,1.000204263,1.000533179
BP,A,F,2018,59.660014225,3.709260287166667,1.2953939512083334,0.023738324,2.9955543308333334,0,NA,NA,NA,NA,NA
BP,A,T002,2020,40.1203513275,3.1977113905,0.6236370345,-0.081260505,2.9832227386666665,0,NA,NA,NA,NA,NA
BP,A,T003,2020,49.705375020000005,4.244927818333333,0.6456508011666666,-0.080084242,4.1035557596666665,195,NA,NA,NA,NA,NA
BP,A,W009,2020,81.04934485749999,4.6061563788,1.0057259568333334,0.0296750556,4.628967416,0,NA,NA,NA,NA,NA
BP,A,W010,2020,150.1855975,3.391861987,1.908236337,0.017214929333333333,3.397164578,0,NA,NA,NA,NA,NA
BP,A,W013,2020,10.8073990095,1.3645172103333334,0.0665302098,-0.5144186813333333,0.923493973,50,NA,NA,NA,NA,NA
BP,A,Y,2008,NA,NA,NA,NA,NA,0,79.81980092,1.061105183,1.007553444,NA,NA
BP,A,Y,2009,13.289317496666667,0.904700031,0.331113373,NA,0.9146452625,0,82.13169191,1.058925579,1.007034604,NA,NA
BP,A,Y,2010,NA,NA,NA,NA,NA,0,NA,1.056616809,1.006582918,NA,NA
BP,ET,A,2008,19.79128102,0.008091736,0.021780494499999997,0.1569306435,0.15811840500000002,279,5.864954842,1.007993365,1.001082176,NA,1.000412565
BP,ET,A,2010,13.773866364,0.0045915985,-0.05472313166666667,0.376340536,0.378723756,178,18.62522878,NA,NA,NA,NA
BP,ET,A,2016,5.38545473,0.05743913,0.04714515133333333,0.24967651066666666,0.29474201066666667,337,NA,1.018351343,1.001748441,1.00044937,1.001058329
BP,ET,A,2017,7.478024648333333,0.30268244683333334,0.064329387125,0.17895714075,0.4480251755,340,NA,1.008584152,1.001011602,1.000236404,1.000375908
BP,ET,A,2018,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA
BP,ET,B,2008,NA,0.019800851,0.070762251,NA,NA,125,23.00932911,1.016607531,1.002176306,NA,1.000374436
BP,ET,B,2010,5.0562612705,0.005959212,0.0865328605,-0.001922712,0.003676652,2,55.07276705,1.013970288,1.001676138,NA,NA
BP,ET,C,2008,4.592248164,0.383428065,-0.050681389,-0.270030104,NA,6,22.7476454,1.010984794,1.00127469,NA,NA
BP,ET,H,2010,8.5454445166,0.007302881,-0.021890011916666667,-1.246917291,NA,248,21.21842789,1.00622028,1.000901318,NA,NA
BP,ET,T011,2020,6.156854541333334,0.10452420025,0.058539051,0.226347907,0.237871835,0,NA,NA,NA,NA,NA
BP,ET,U,2009,10.1035244215,0.646401737,0.026743335,NA,0.6872008395,191,10.22483973,1.004005917,1.000581326,NA,NA
BP,ET,U,2010,NA,NA,NA,NA,NA,191,NA,1.001558923,1.000217791,NA,NA
BP,ET,V,2008,NA,NA,NA,NA,NA,27,22.43630317,1.011977343,1.001710273,NA,NA
BP,ET,V,2009,26.2415313275,0.259970844,-0.21881415175000002,NA,-0.105002867,36,28.94198294,1.007197461,1.000898563,NA,NA
BP,ET,V,2010,NA,NA,NA,NA,NA,14,NA,1.007886434,1.001016509,NA,NA
BP,ET,W015,2020,5.22957170175,0.0282017804,NA,NA,NA,210,NA,NA,NA,NA,NA
GOB,A,GOB1,2013,9.98563909925,0.3847531995,0.018114506333333332,0.100996636,0.514507163,303,NA,1.056357063,1.005104577,NA,NA
GOB,A,GOB1,2014,5.229478095999999,0.033786485,0.0309242355,0.076248433,0.098992337,341,NA,1.05893611,1.00475349,1.001760283,1.00368194
GOB,A,GOB2,2013,9.915306732,0.23013551100000001,0.07334257799999999,0.133621703,0.20304322733333335,287,3.016437851,1.038033087,1.00344756,NA,NA
GOB,A,GOB2,2014,6.8510781795,0.058509878,0.06535348675,0.167384266,0.202851563,294,NA,1.051460753,1.004410576,1.001195726,1.002954715
GOB,ET,GOB3,2013,4.641060848,-0.009783178333333333,0.01739758,-0.165509875,-0.158111537,208,1.222315198,1.006621616,1.000742774,NA,NA
GOB,ET,GOB3,2014,NA,NA,NA,NA,NA,179,NA,1.007610538,1.000763016,1.000338502,1.000609475
GOF,A,GF1,2002,13.242188873,1.6477118825,1.3977683060000001,NA,2.026839712666667,0,NA,1.03226983,1.00411156,NA,NA
GOF,A,GF2,2002,29.724572363333333,3.1117311136666665,1.3517347,NA,4.3955531235,0,NA,1.03285165,1.00357863,NA,NA
GOF,A,KAS,2003,NA,0.56077445475,0.077170552,1.460395829,0.972549016,150,NA,1.029200333,1.003813413,NA,NA
GOF,A,KAS,2004,12.369301182416667,0.12402304920000001,0.0014958000000000003,-0.01163001663333333,0.23189987999999997,214,NA,1.017051658,1.00201314,NA,NA
GOF,A,KAS,2005,14.494749739208334,0.10714977750000002,-0.021191031083333332,-0.24186937625,-0.130725694,210,70.8712483,1.04510607,1.006784,NA,NA
GOF,A,PV1,2003,NA,2.42997529375,1.54701607525,-0.28163758175000003,0.8993294543333333,1,NA,1.028756069,1.003755963,NA,NA
GOF,A,PV1,2004,25.07865215175,1.58724402975,0.02117621033333333,-0.39995617775000003,1.0140976516666667,144,NA,1.027678279,1.003615403,NA,NA
GOF,A,PV1,2005,45.185743777750005,5.7647184734,1.3022754019,-1.3136377445,4.112244168041666,10,868.9,1.01431098,1.002615434,NA,NA
GOF,ET,GF5,2002,5.195768108999999,0.691923216,-0.780196001,NA,0.871137016,340,NA,1.02181748,1.0022437,NA,NA
GOF,ET,GF6,2002,11.84734395375,-1.0125727095000001,0.06387234450000001,NA,-1.149620534,320,NA,1.01467539,1.0013876,NA,NA
GOF,ET,XV1,2003,NA,NA,0.115170777,NA,NA,85,NA,NA,NA,NA,NA
GOF,ET,XV1,2005,5.827321201499999,-0.177477152,-0.0721127425,-1.3533209516666667,-0.433970394625,285,NA,1.025185458,1.002986819,NA,NA
