basin,BT,code,year,BW_O2,ChlA.inv,CN,DIP,log_BW_O2,hypoxic
BP,A,D,2008,0,64.28807898,9.96781699033101,0.34046680766666665,0,1
BP,A,D,2010,0,104.1532524,9.666762920172198,0.34962478525,0,1
BP,A,D,2016,0,NA,10.667792431644187,0.793388056375,0,1
BP,A,E,2008,0,69.36373849,10.646671749271224,0.32253922925,0,1
BP,A,E,2010,0,95.05039309,10.180517814742958,0.509165719,0,1
BP,A,F,2008,0,74.75784493,10.674142127662645,0.44030023325,0,1
BP,A,F,2010,0,109.7966399,9.811999131973407,1.183902597,0,1
BP,A,T002,2020,0,NA,10.06435945504367,0.6236370345,0,1
BP,A,T003,2020,195,NA,10.48871328737717,0.6456508011666666,2.292256071356476,0
BP,A,W009,2020,0,NA,9.814142356539623,1.0057259568333334,0,1
BP,A,W010,2020,0,NA,9.617283698080357,1.908236337,0,1
BP,A,W013,2020,50,NA,9.28475647135702,0.0665302098,1.7075701760979363,1
BP,A,Y,2009,0,81.13169191,9.771457885545502,0.331113373,0,1
BP,ET,A,2008,279,4.864954842,8.616423420305141,0.021780494499999997,2.4471580313422194,0
BP,ET,A,2016,337,NA,12.243682164664305,0.04714515133333333,2.5289167002776547,0
BP,ET,A,2017,340,NA,9.898810849874296,0.064329387125,2.5327543789924976,0
BP,ET,B,2008,125,22.00932911,8.901848640582918,0.070762251,2.100370545117563,0
BP,ET,B,2010,2,54.07276705,9.722787608706444,0.0865328605,0.47712125471966244,1
BP,ET,C,2008,6,21.7476454,10.052695304296918,-0.050681389,0.8450980400142568,1
BP,ET,H,2010,248,20.21842789,8.050577936517382,-0.021890011916666667,2.3961993470957363,0
BP,ET,T011,2020,0,NA,9.51723578531001,0.058539051,0,1
BP,ET,U,2009,191,9.224839734,8.038541954564629,0.026743335,2.2833012287035497,0
BP,ET,V,2009,36,27.94198294,9.34384966733064,-0.21881415175000002,1.568201724066995,1
GOB,A,GOB1,2013,303,0.683196706,12.879046034984452,0.018114506333333332,2.482873583608754,0
GOB,A,GOB1,2014,341,NA,14.46318722453581,0.0309242355,2.534026106056135,0
GOB,A,GOB2,2013,287,2.016437851,12.869000535822419,0.07334257799999999,2.459392487759231,0
GOB,A,GOB2,2014,294,NA,13.610559768062085,0.06535348675,2.469822015978163,0
GOB,ET,GOB3,2013,208,0.222315198,10.399254125144942,0.01739758,2.3201462861110542,0
GOF,A,GF1,2002,0,NA,9.155565479928365,1.3977683060000001,0,1
GOF,A,GF2,2002,0,NA,10.70866953976632,1.3517347,0,1
GOF,A,KAS,2003,150,50.787646,8.932419195984233,0.077170552,2.1789769472931693,0
GOF,A,KAS,2004,214,65.56371833,9.8807010412676,0.0014958000000000003,2.3324384599156054,0
GOF,A,KAS,2005,210,69.8712483,7.756115686544069,-0.021191031083333332,2.3242824552976926,0
GOF,A,PV1,2003,1,74.669718,8.931066495505611,1.54701607525,0.3010299956639812,1
GOF,A,PV1,2004,144,85.30107113,8.930535877304532,0.02117621033333333,2.161368002234975,0
GOF,A,PV1,2005,10,867.9,6.382939639363375,1.3022754019,1.0413926851582251,1
GOF,ET,GF5,2002,340,NA,11.343182684076588,-0.780196001,2.5327543789924976,0
GOF,ET,GF6,2002,320,NA,12.337310311190482,0.06387234450000001,2.506505032404872,0
GOF,ET,XV1,2003,85,48.321168,9.117144419054965,0.115170777,1.9344984512435677,0
GOF,ET,XV1,2005,285,61.36105052,9.836397132069456,-0.0721127425,2.456366033129043,0
